id,name,origin_country
420,Marvel Studios,US
5,Columbia Pictures,US
84041,Pascal Pictures,US
22213,TSG Entertainment,US
47,Constantin Film,DE
240675,Subconscious,US
829,Vertigo Entertainment,US
342,Davis Films,FR
125281,PlayStation Productions,US
559,TriStar Pictures,US
174,Warner Bros. Pictures,US
216687,Domain Entertainment,US
11461,Bad Robot,US
171235,Jackson Pictures,US
94218,Troll Court Entertainment,US
296158,Keylight Pictures,US
25120,Warner Animation Group,US
33,Universal Pictures,US
9996,Syncopy,GB
218768,Wow Point,KR
246330,Smilegate Entertainment,KR
243139,Midnight Studio,KR
14589,Code Entertainment,US
33768,The Solution,US
218150,Punch Palace Productions,GB
73492,MadRiver Pictures,US
2,Walt Disney Pictures,US
73669,Seven Bucks Productions,US
34081,Flynn Picture Company,US
122645,5000 Broadway Productions,US
62454,Legend Pictures,JP
3349,Scanner-Rhodes Productions,GB
46225,Untitled Entertainment,US
290125,Reinvent Yellow,DK
32485,Pokeepsie Films,ES
3,Pixar,US
210099,Amazon MGM Studios,US
244481,Rockwood Pictures,GB
155758,Tea Shop Productions,GB
273145,Under the Shell,US
154063,Capstone Pictures,US
3172,Blumhouse Productions,US
107352,Sithara Entertainments,IN
172461,Srikara Studios,IN
166697,Fortune Four Cinemas,IN
155744,Jagged Edge Productions,GB
6704,Illumination,US
42614,Vision Sugimoto,JP
3656,GAGA Communications,JP
235192,Lukra Films,PL
82819,Skydance Media,US
104228,Maximum Effort,US
129200,GoldDay,US
198917,Come and See Pictures,ID
7872,Rapi Films,ID
4399,Barunson E&A,KR
46840,Legacy Pictures,ID
99376,Dee Company,ID
158529,Ethea Entertainment,US
220517,Luber-Roklin Entertainment,US
202263,Pitt Street Productions,US
308708,Aquarius Films,ES
308732,The Last Sunrise,US
71738,Spin Master,CA
2348,Nickelodeon Movies,US
24955,Paramount Animation,US
84651,Draco Films,MX
270146,Paramount Television Studios,US
196800,Forged Films,KR
91505,Plus M Entertainment,KR
168283,Westworld Story,KR
77973,Lord Miller,US
232193,Open Invite Entertainment,US
22842,Waypoint Entertainment,US
109501,Bazelevs,US
59827,Patrick Aiello Productions,US
231386,Magenta Light Studios,US
2520,Arclight Films,US
200176,Simmons/Hamilton Productions,US
11068,Nostromo Pictures,ES
76098,Aristos Films,
293380,DW Film Holdings,AU
229487,Rabbits Black,US
2623,Blue Rider Pictures,US
56,Amblin Entertainment,US
4,Paramount Pictures,US
20187,Flying Bark Productions,AU
58209,Studio Mir,KR
149943,Avatar Studios,US
76907,Atomic Monster,US
2575,21 Laps Entertainment,US
41077,A24,US
262307,Phobos,CA
251729,The North Road Company,US
117672,Kavac Film,IT
7306,The Match Factory,DE
204957,MUBI,GB
223013,Sur Film,ES
214895,Crybaby,GB
128344,The Apartment Pictures,IT
251066,In Bloom,IT
