movie_id,person_id,person_name,job
969681,1144604,Destin Daniel Cretton,Director
1423191,84833,Zach Cregger,Director
1101383,558929,David Robert Mitchell,Director
1204680,1101410,Dave Green,Director
1368337,525,Christopher Nolan,Director
1375646,939147,Yeon Sang-ho,Director
1294189,1416819,Mark Vanselow,Director
1288445,58324,Jean-François Richet,Director
1108427,1485823,Thomas Kail,Director
1285366,895706,Shinji Imaoka,Director
1482547,572295,Howard J. Ford,Director
1440098,2410810,Óscar Pedraza,Director
1084244,7,Andrew Stanton,Director
1386315,17350,Kevin Macdonald,Director
1339713,2381985,Curry Barker,Director
1408162,1966148,Venky Atluri,Director
1232569,3122176,Rhys Frake-Waterfield,Director
1315772,124747,Pierre Coffin,Director
44980,555589,Daisuke Gotô,Director
1323244,4858160,Łukasz Róg,Director
1137844,1236679,Jonathan Goldstein,Director
1137844,52935,John Francis Daley,Director
1393326,121798,Joko Anwar,Director
1469930,4061922,Jeropoint,Director
1516698,965770,Carlson Young,Director
1185806,1098477,Cal Brunker,Director
1621552,964826,Chava Cartas,Director
1506560,1951095,Trevor Kirschner,Director
1058424,75915,Na Hong-jin,Director
687163,107446,Phil Lord,Director
687163,155267,Christopher Miller,Director
755898,1634181,Rich Lee,Director
1127384,16938,Renny Harlin,Director
1275779,488,Steven Spielberg,Director
980431,74863,Lauren Montgomery,Director
1083381,3688382,Kane Parsons,Director
299534,19272,Joe Russo,Director
299534,19271,Anthony Russo,Director
299536,19272,Joe Russo,Director
299536,19271,Anthony Russo,Director
1130948,55018,Karim Aïnouz,Director
1599993,1691351,José Ramón Alama,Director
1228710,15277,Jon Favreau,Director
264980,48862,Hans Billian,Director
1419406,1452270,Larry Yang,Director
6435,2171,Griffin Dunne,Director
1084242,1318201,Jared Bush,Director
1084242,76595,Byron Howard,Director
278,4027,Frank Darabont,Director
1228834,145612,Guy Moshe,Director
1514682,77295,Jesse V. Johnson,Director
1156869,4182500,Lai Hok-Man,Director
1224993,146865,Kwon Hyeok-jae,Director
